# taue, taui, alpha, speed, gei, gii, tauC, r_tot, r_psd, r_sp, sub, flag, status, success
6.343653315482761457e+00,5.985614656497761921e+00,1.000000000000000000e+00,6.329260573079831254e+00,3.792080140236351871e-01,2.807913282408213695e-01,8.560457127564157886e+00,1.548867586346307945e+00,9.046660528020791237e-01,6.442015335442289325e-01,1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.816677319566942117e+00,5.349382173405589747e+00,1.000000000000000000e+00,6.261811986806671726e+00,3.545651095742928249e-01,6.018497721680042822e-01,1.287061184456287855e+01,1.486943182963031518e+00,9.058249059632296207e-01,5.811182769998020081e-01,1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.818470644902500055e+01,1.301075799178928172e+01,1.000000000000000000e+00,5.688184981008873820e+00,3.736768682825563626e-01,6.195828916532634123e-01,6.929683754979364174e+00,1.491535721750080423e+00,9.257598585000168523e-01,5.657758632500634599e-01,1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.091890747333904343e+00,5.000000000000000000e+00,1.000000000000000000e+00,6.257613424019051962e+00,3.381238197767436060e-01,1.183683739321245154e-02,1.530016098408010805e+01,1.541900668122460072e+00,9.272773765777514443e-01,6.146232915447087386e-01,1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.472025595115542984e+01,6.823929426516489372e+00,1.000000000000000000e+00,1.403699566206064198e+01,1.612790828794361930e-03,7.281776836235839268e-01,1.519548403345405774e+01,1.326203983181623469e+00,8.954565450536904336e-01,4.307474381279330355e-01,1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.268192994816574171e+01,8.543886389964983508e+00,1.000000000000000000e+00,6.223674288927829146e+00,4.196666074698782167e-01,1.136567636377461499e+00,1.490284474972975204e+01,1.504606339602190257e+00,9.106153662016155392e-01,5.939909734005746067e-01,1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.185012555788742006e+01,6.155078347507893177e+00,1.000000000000000000e+00,6.229814860379952357e+00,7.882243275692127696e-03,8.149112403248109926e-01,1.258593318734249777e+01,1.570838436925743542e+00,9.222629835049195313e-01,6.485754534208240107e-01,1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.884575852054911849e+00,2.057530320311511929e+01,1.000000000000000000e+00,1.702808363019260440e+01,3.864811883986239982e-01,6.992743140962104365e-01,1.549385693536502195e+01,1.465353812580902915e+00,9.200517180622692637e-01,5.453020945186336510e-01,1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.402799363789605636e+01,5.906692711586987166e+00,1.000000000000000000e+00,6.274186896031932470e+00,1.000000000000000021e-03,7.386156159073502536e-01,1.393621987206749679e+01,1.420656978399645665e+00,8.799489924982210054e-01,5.407079859014246592e-01,1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.278363331897980792e+00,1.473341707492495622e+01,1.000000000000000000e+00,6.263113158005537251e+00,1.964401135879106364e-01,4.961474061927089174e-01,1.243194912369301974e+01,1.443923717486751190e+00,9.123078366557642038e-01,5.316158808309869865e-01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.860391446692920780e+00,6.298193645915953987e+00,1.000000000000000000e+00,1.392337657524791261e+01,3.884187139291476187e-01,1.000000000000000021e-03,1.522213452308441539e+01,1.511410293775578007e+00,9.341301941314567037e-01,5.772800996441213028e-01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.834167411233638134e+01,2.928289127746780451e+01,1.000000000000000056e-01,5.688960567201085894e+00,6.659809956009462573e-01,2.000000000000000000e+00,6.722537049486635219e+00,1.381269841809477761e+00,8.570383832590726669e-01,5.242314585504052049e-01,2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.704821254579290013e+00,7.845362571046404554e+00,5.863684043548739178e-01,6.649054410517413416e+00,1.000000000000000021e-03,9.776641633957017241e-01,2.040026567432429516e+01,1.485807133969341720e+00,9.235872309615361653e-01,5.622199030078055548e-01,2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.176746385360705460e+01,7.290827696939635949e+00,1.000000000000000000e+00,5.696228308499985182e+00,2.452107632726766850e-01,7.073542403524233357e-01,1.572577019595244074e+01,1.450039775777495654e+00,9.227823672551439538e-01,5.272574085223517004e-01,2.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
