taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
1.743613963567152325e+01,1.835485862813950320e+01,1.000000000000000000e+00,2.713149259723705242e+00,5.710872861070619422e+00,1.000000000000000000e+01,1.097783200261993031e+01,1.478349973017163199e+00,8.984446521668530972e-01,5.799053208503101020e-01,1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.588189817388742675e+01,5.018250134472096136e+01,1.000000000000000000e+00,3.061520658638732684e+00,3.085667425391966034e+00,1.000000000000000000e+01,6.889406926437978917e+00,1.492354422645605583e+00,9.212167196052425400e-01,5.711377030403630428e-01,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.667276073435464667e+01,2.175530524341554894e+01,1.000000000000000000e+00,5.299999999999999822e+00,4.318802931181938476e+00,1.000000000000000000e+01,1.442538895970793078e+01,1.533401957363729196e+00,9.210293983373009086e-01,6.123725590264283980e-01,1.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.294924417733921906e+01,2.238623491099497897e+01,1.000000000000000056e-01,5.098423600470377792e+00,5.000000000000000000e-01,9.527927417652591657e+00,2.599375872075419025e+01,1.320243781941322636e+00,8.935679939024975260e-01,4.266757880388251656e-01,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.073784384658709712e+01,1.891799416733664430e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.103489499698445675e+00,6.358223063073658032e+00,1.355119507406574897e+01,1.501299033648564318e+00,9.092095595973398447e-01,5.920894740512243626e-01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.121614348178235687e+00,2.000000000000000000e+02,1.000000000000000000e+00,5.299999999999999822e+00,6.297506206201655132e+00,5.000000000000000000e-01,1.514288362164490742e+01,1.560768331197911252e+00,9.119317237849224878e-01,6.488366074129887640e-01,1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.183190245090519710e+01,2.153490856009121046e+01,1.000000000000000056e-01,2.711850358223522051e+00,5.000000000000000000e-01,6.623200403196906727e+00,2.701862356667861320e+01,1.465950239513822195e+00,9.157400454581631211e-01,5.502101940556590742e-01,1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.854183666361446114e+01,2.095110739899376640e+01,1.000000000000000000e+00,5.299999999999999822e+00,4.307770937620012397e+00,1.000000000000000000e+01,1.403203484585971950e+01,1.413545243274293206e+00,8.750434200882855063e-01,5.385018231860078108e-01,1.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.396524851248382326e+00,8.037178152642994178e+01,1.000000000000000000e+00,5.299999999999999822e+00,9.108025566931673422e-01,1.000000000000000000e+01,1.409416150362652509e+01,1.438735913975277114e+00,9.104060498470105678e-01,5.283298641282666575e-01,1.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.670193914367457921e+01,2.117307729238345360e+01,1.000000000000000056e-01,2.710541499914149721e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.354208439315095980e+01,1.510778285670140608e+00,9.319956985846786779e-01,5.787825870854620414e-01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.785542935004287202e+01,5.423478723742501018e+01,1.000000000000000056e-01,5.299999999999999822e+00,3.173685678347169414e+00,1.000000000000000000e+01,6.719056734569258893e+00,1.380930204931965832e+00,8.569647870409806689e-01,5.239654178909850524e-01,2.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.930679041862686240e+00,4.362698725345799033e+01,1.000000000000000000e+00,5.299999999999999822e+00,2.086978311619574811e+00,8.090009272189551126e+00,1.397254625189164834e+01,1.482007837744601986e+00,9.166926355225488710e-01,5.653152022220532258e-01,2.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.996020519146817307e+01,2.247880979154548342e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.526277982458246862e+00,1.000000000000000000e+01,1.434160907594036338e+01,1.450087171152002696e+00,9.231675525741792621e-01,5.269196185778234343e-01,2.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.841975199066048674e+01,4.915464090466954872e+01,3.209839995921884293e-01,3.019172900051606323e+00,2.450378152451451630e+00,8.343087226498729692e+00,5.637390677638019376e+00,1.483482404504987917e+00,8.074961385514688450e-01,6.759862659535190721e-01,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.809904205872064686e+00,7.758540715946877242e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,9.629212901173440642e+00,1.416608193774530022e+01,1.480448107257125390e+00,8.748507849676867565e-01,6.055973222894386332e-01,2.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.958159528059790944e+01,6.510675190093171238e+01,4.062179466779040626e-01,3.044364208317095866e+00,3.198692472155182820e+00,1.000000000000000000e+01,7.713876086329419124e+00,1.507508961950791093e+00,9.157267575325807041e-01,5.917822044182103891e-01,2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.745459200080134110e+01,2.074248139129317536e+01,1.000000000000000000e+00,5.093291334283538419e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.464496149623437660e+01,1.395335953967827614e+00,9.094150479620863869e-01,4.859209060057412821e-01,2.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.468319635942026302e+00,2.000000000000000000e+02,1.000000000000000056e-01,3.069838646734696752e+00,6.308277304504801286e+00,5.000000000000000000e-01,1.692341466407723516e+01,1.421851821230583512e+00,9.047265734840853613e-01,5.171252477464981512e-01,2.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.753825962570589425e+01,1.831938498562155644e+02,1.000000000000000056e-01,2.691388541318955330e+00,4.065197578945675794e+00,1.000000000000000000e+01,3.000000000000000000e+01,1.557947759482599004e+00,9.379771513259794746e-01,6.199706081566196403e-01,2.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.042722414777394135e+00,4.524862578184836792e+01,1.000000000000000000e+00,1.702178379721283941e+00,5.000000000000000000e-01,2.389896913295678882e+00,1.521116351786375454e+01,1.658740404640855814e+00,9.360394834841274658e-01,7.227009211567283486e-01,3.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.838640013336754642e+00,2.606174128604141416e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.329217884261168603e+00,8.270941539137001142e-01,1.435186084851755517e+01,1.391461747322236597e+00,9.103042161422952860e-01,4.811575311799412558e-01,3.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.433370584605922815e+00,5.262233679382124052e+01,1.000000000000000056e-01,2.780639401489298557e+00,2.770385690681019142e+00,5.010654503742855148e+00,1.687264709988789946e+01,1.428717825074242054e+00,8.644406163726591208e-01,5.642772087015829330e-01,3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.306434338972436215e+00,2.000000000000000000e+02,1.000000000000000000e+00,2.694423189362242788e+00,5.619066699744612592e+00,5.000000000000000000e-01,1.545901294957942262e+01,1.529483526876656452e+00,9.176487338822851836e-01,6.118347929943711572e-01,3.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,1.983357443253909125e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.702983761096684923e+00,1.000000000000000000e+01,1.380786046603487449e+01,1.500870838694776221e+00,8.931328494897199377e-01,6.077379892050562837e-01,3.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,3.865266845322046407e+01,1.000000000000000056e-01,2.712918021033869032e+00,6.024678769326303751e+00,4.119046675317914463e+00,3.000000000000000000e+01,1.467810816677517227e+00,8.999782519918898549e-01,5.678325646856272613e-01,3.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
