taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
1.271176576972390748e+01,7.805514478093640207e+01,8.498748918691482190e-01,2.980487295243140711e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.997619737265540429e+00,1.549470104663201120e+00,9.000547304418990979e-01,6.494153742213020220e-01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.776967678501242531e+01,5.000000000000000000e+00,1.000000000000000000e+00,2.702525083128520134e+00,5.726911474833793037e+00,7.327564707305229241e+00,1.111056379263263771e+01,1.482734773848168430e+00,9.027568720479745012e-01,5.799779018001938180e-01,1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.583020393033648610e+01,5.046780466360067408e+01,1.000000000000000000e+00,3.059698373152373030e+00,3.076010519020737632e+00,9.850594915287366860e+00,6.902620531434455309e+00,1.492322575269757534e+00,9.212116109080780157e-01,5.711109643616795184e-01,1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.668182550816297294e+01,2.175842508509562734e+01,1.000000000000000000e+00,5.299999999999999822e+00,4.318992009539482702e+00,1.000000000000000000e+01,1.442544144738712220e+01,1.533401969838001921e+00,9.210311302206145578e-01,6.123708396173874746e-01,1.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.488191480291122559e+01,2.207518297725184553e+01,1.000000000000000000e+00,5.111911257681606813e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.407912550008581043e+01,1.323485462641847077e+00,8.937334327697420422e-01,4.297520298721050347e-01,1.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.139946547571778268e+00,4.205704174320410971e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,4.152718732434212079e+00,1.601943209726521644e+01,1.501158745418111451e+00,9.101207595664035921e-01,5.910379858517079699e-01,1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.832778377826257810e+01,2.176440266512749844e+01,1.000000000000000000e+00,5.299999999999999822e+00,4.769234818475689863e+00,1.000000000000000000e+01,1.357684777700654877e+01,1.566547905707269095e+00,9.183975842722764682e-01,6.481503214349927378e-01,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.234094502116951375e+00,6.271692201725365834e+01,1.000000000000000056e-01,2.727321335747542541e+00,5.000000000000000000e-01,5.054718582545688399e+00,1.820360589138075014e+01,1.466627284673223119e+00,9.173308424001060946e-01,5.492964422731170249e-01,1.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.301853722689800819e+01,2.004508498323457744e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.268806387481622266e+01,1.413464270521877175e+00,8.763696167863036512e-01,5.370946537355734129e-01,1.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.397116510319768246e+00,8.036773844576475767e+01,1.000000000000000000e+00,5.299999999999999822e+00,9.094648378774954356e-01,1.000000000000000000e+01,1.409490919525945785e+01,1.438735915199482740e+00,9.104066866063615926e-01,5.283292285931211474e-01,1.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.193053234921921479e+01,2.011487824472877861e+01,1.000000000000000056e-01,2.710758649724275049e+00,1.698037839253662362e+00,7.942614911451707727e+00,3.000000000000000000e+01,1.512914922760399294e+00,9.328641264410821865e-01,5.800507963193171079e-01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.953897801735161366e+00,1.145129701737424632e+01,1.000000000000000056e-01,5.299999999999999822e+00,1.459522060510590302e+00,5.279320962034900866e+00,2.366560122772988350e+01,1.381995355274070469e+00,8.580312047949780752e-01,5.239641504790923943e-01,2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.930907848518166325e+00,4.362215367001143562e+01,1.000000000000000000e+00,5.299999999999999822e+00,2.086890646690823914e+00,8.090922938429446987e+00,1.397229277293967620e+01,1.482007833291428600e+00,9.166931077871032230e-01,5.653147255043254882e-01,2.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.996025114383391852e+01,2.247867296962066774e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.526365594497147260e+00,1.000000000000000000e+01,1.434164283702380338e+01,1.450087169783653263e+00,9.231675274700225087e-01,5.269196423136306429e-01,2.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.823292611982394007e+01,5.127087748001256529e+01,3.267818713921273321e-01,3.019175002493370119e+00,2.706962253879726887e+00,9.196659968978533328e+00,5.632499627164428979e+00,1.483502344044658194e+00,8.074851418243099710e-01,6.760172022203481124e-01,2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.809888781962133208e+00,7.758182041846605159e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,9.626904204826482570e+00,1.416595726262569777e+01,1.480448122790745558e+00,8.748507874906349402e-01,6.055973353001107284e-01,2.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.418450601396894939e+00,4.413068141759760721e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.877682753445406139e+00,5.840693529036730780e+00,1.443018465252708538e+01,1.509677009226855660e+00,9.192782890557587017e-01,5.903987201710969579e-01,2.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.726095464533594637e+01,5.000000000000000000e+00,1.000000000000000056e-01,2.740655499767813641e+00,7.182451631887338817e-01,7.567587958789926184e+00,3.000000000000000000e+01,1.398034103768293956e+00,9.106628065098704150e-01,4.873712972584235414e-01,2.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.468527112974747695e+00,2.000000000000000000e+02,1.000000000000000056e-01,3.069853868819228726e+00,6.308153388528931593e+00,5.000000000000000000e-01,1.692357111027545713e+01,1.421851821502635227e+00,9.047266161025228071e-01,5.171252054001124199e-01,2.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.753983832945047183e+01,1.827622151454140749e+02,1.000000000000000056e-01,2.691383036837178722e+00,4.065650007526682153e+00,9.942605775282498115e+00,3.000000000000000000e+01,1.557947454543147980e+00,9.379769333417394828e-01,6.199705212014083866e-01,2.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.040725829947861669e+00,4.548782337068184489e+01,1.000000000000000000e+00,1.702175090327524343e+00,5.000000000000000000e-01,2.419787433338294047e+00,1.521276519208884892e+01,1.658740787857622578e+00,9.360420920885514917e-01,7.226986957690710867e-01,3.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.838748368344596429e+00,2.606546886753690018e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.329545644604578136e+00,8.277105452257236262e-01,1.435241470964760424e+01,1.391461747567735774e+00,9.103044466032509385e-01,4.811573009644849463e-01,3.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.883845470039360492e+01,1.709698088477127342e+01,1.000000000000000000e+00,2.718898349932602709e+00,2.968452316887883136e+00,7.738157127000528490e+00,1.099538635960500876e+01,1.433148113779195931e+00,8.640312618180251425e-01,5.691168519611708998e-01,3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.270971375725280517e+00,8.314549664206396073e+01,1.000000000000000000e+00,1.699999999999999956e+00,6.858643494369800475e-01,1.000000000000000000e+01,1.500425921372313454e+01,1.530556932377669099e+00,9.161809349932790170e-01,6.143759973843900823e-01,3.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,1.983347811008356842e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.702961045456468980e+00,1.000000000000000000e+01,1.380780498001883849e+01,1.500870838617184955e+00,8.931329295558491088e-01,6.077379090613358459e-01,3.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.062801822300868260e+01,1.809033861495342066e+01,1.000000000000000056e-01,2.706461099865715703e+00,2.252597339855188174e+00,6.972481970879247370e+00,3.000000000000000000e+01,1.473373163987601764e+00,9.040318090328058886e-01,5.693413549547958752e-01,3.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
